Word	IPA transcription
наложи	n a ɫ o ʒ i
избират	i z b i r ɐ t
Иван	i v ɐ n
Надежда	n a d e ʒ d ɐ
Михайлова	m i x a j ɫ o v ɐ
противници	p r o t i v n i t s i
район	r a j o n
ли	l i
щяха	ʃ tʲ a x ɐ
повярват	p o vʲ a r v ɐ t
вариантите	v ɐ r i a n t i t e
направената	n ɐ p r ɐ v e n a t ɐ
заявка	z a j a f k ɐ
БЗНС	b ə z ə n ə s ə
Народен	n a r o d e n
Съюз	s ə j u s
свободните	s v o b o d n i t e
демократи	d e m o k r a t i
ВМРО	v m r o
практика	p r a k t i k ɐ
поставя	p o s t a vʲ ɐ
началото	n ɐ t ʃ a ɫ o t o
оформянето	o f o r mʲ a n e t o
десноцентристки	d e s n o t s e n t r i s t k i
коалиции	k o ɐ l i t s i i
предстоящите	p r e t s t o j a ʃ t i t e
парламентарни	p ɐ r ɫ ɐ m e n t a r n i
Царят	t s a rʲ ɐ t
настани	n a s t a n i
жълтите	ʒ ə ɫ t i t e
министри	m i n i s t r i
начело	n a t ʃ e ɫ o
бъдат	b ə d ɐ t
чудесни	t ʃ u d e s n i
природни	p r i r o d n i
климатични	k l i m a t i t ʃ n i
условия	u s ɫ o v i j ɐ
произвежда	p r o i z v e ʒ d ɐ
собствени	s o p s t v e n i
суровини	s u r o v i n i
навсякъде	n ɐ f ʃ a k ə d e
света	s v e t ɐ
представляват	p r e t s t a v l a v ɐ t
най-важният	n a j v a ʒ n i j ɐ t
производствените	p r o i z v o t s t v e n i t e
разходи	r a s x o d i
почетоха	p o t ʃ e t o x ɐ
паметта	p a m e t̪ ɐ
жертвите	ʒ e r t v i t e
Югоизточна	j u ɡ o i s t o t ʃ n ɐ
минутно	m i n u t n o
мълчание	m ə ɫ t ʃ a n i e
сряда	s rʲ a d ɐ
признаем	p r i z n a e m
замисълът	z a m i s ə ɫ ə t
перфектен	p e r f e k t e n
изпълнението	i s p ə ɫ n e n i e t o
заслужава	z ɐ s ɫ u ʒ a v ɐ
аплаузи	ɐ p ɫ a u z i
тогава	t o ɡ a v ɐ
публикуван	p u b l i k u v ɐ n
специален	s p e t s i a l e n
доклад	d o k ɫ a t
готовността	ɡ o t o v n o s t̪ ɐ
бившата	b i f ʃ a t ɐ
югославска	j u ɡ o s ɫ a f s k ɐ
република	r e p u b l i k ɐ
преди	p r e d i
дни	d n i
ритуалът	r i t u a ɫ ə t
повтори	p o f t o r i
народното	n ɐ r o d n o t o
събрание	s ə b r a n i e
капацитетът	k ɐ p ɐ t s i t e t ə t
избата	i z b a t ɐ
четиристотин	t ʃ e t i r i s t o t i n
осемдесет	o s e m d e s e t
тона	t o n ɐ
годишно	ɡ o d i ʃ n o
или	i l i
седемстотин	s e d e m s t o t i n
бутилки	b u t i ɫ k i
смятам	s mʲ a t ɐ m
пъти	p ə t i
по-важно	p o v a ʒ n o
заявихме	z ɐ j a v i x m e
управляваме	u p r ɐ v l a v a m e
прозрачно	p r o z r a t ʃ n o
открит	o t k r i t
диалог	d i a ɫ o k
синдикатите	s i n d i k a t i t e
работодателите	r ɐ b o t o d ɐ t e l i t e
гражданското	ɡ r ɐ ʒ d a n s k o t o
общество	o p ʃ t e s t v o
постоянна	p o s t o j a n n ɐ
бъдещото	b ə d e ʃ t o t o
правителство	p r ɐ v i t e ɫ s t v o
тяхната	tʲ a x n a t ɐ
интегрираност	i n t e ɡ r i r a n o s t
световната	s v e t o v n a t ɐ
икономика	i k o n o m i k ɐ
знаем	z n a e m
атрактивна	ɐ t r a k t i v n ɐ
дестинация	d e s t i n a t s i ɐ
ваканции	v ɐ k a n t s i i
пътувания	p ə t u v a n i j ɐ
обхваща	o p x v a ʃ t ɐ
всичките	f s i t ʃ k i t e
общини	o p ʃ t i n i
Габровско	ɡ a b r o f s k o
съседните	s ə s e d n i t e
региони	r e ɡ i o n i
заработим	z ɐ r a b o t i m
жалбите	ʒ a ɫ b i t e
най-краткият	n a j k r a t k i j ɐ t
политически	p o l i t i t ʃ e s k i
тест	t e s t
вътрешен	v ə t r e ʃ e n
дебат	d e b ɐ t
надзорниците	n ɐ d̪z̪ o r n i t s i t e
решили	r e ʃ i l i
предложат	p r e d ɫ o ʒ ɐ t
имената	i m e n a t ɐ
Тома	t o m ɐ
Иванов	i v a n o f
бившия	b i f ʃ i j ɐ
технически	t e x n i t ʃ e s k i
директор	d i r e k t o r
национална	n ɐ t s i o n a ɫ n ɐ
телевизия	t e l e v i z i j ɐ
Христов	x r i s t o f
Гоцев	ɡ o t s e f
класа	k ɫ a s ɐ
определен	o p r e d e l e n
смисъл	s m i s ə ɫ
формирана	f o r m i r a n ɐ
времето	v r e m e t o
социализма	s o t s i a l i z m ɐ
периода	p e r i o d ɐ
прехода	p r e x o d ɐ
протичал	p r o t i t ʃ ɐ ɫ
нейният	n e j n i j ɐ t
разпад	r a s p ɐ t
събитията	s ə b i t i j a t ɐ
имат	i m ɐ t
интересен	i n t e r e s e n
развой	r a z v o j
ефективната	e f e k t i v n a t ɐ
процедура	p r o t s e d u r ɐ
публичната	p u b l i t ʃ n a t ɐ
продажба	p r o d a ʒ b ɐ
спомената	s p o m e n a t ɐ
важен	v a ʒ e n
елемент	e l e m e n t
жилетки	ʒ i l e t k i
оборудван	o b o r u d v ɐ n
четвъртият	t ʃ e t v ə r t i j ɐ t
отбелязване	o d b e l a z v a n e
предизборната	p r e d i z b o r n a t ɐ
пропаганда	p r o p a ɡ a n d ɐ
новости	n o v o s t i
причината	p r i t ʃ i n a t ɐ
проведеният	p r o v e d e n i j ɐ t
конкурс	k o n k u r s
фирма	f i r m ɐ
изпълнител	i s p ə ɫ n i t e l
българския	b ə ɫ ɡ a r s k i j ɐ
павилион	p ɐ v i l i o n
четирите	t ʃ e t i r i t e
световни	s v e t o v n i
борси	b o r s i
Берлин	b e r l i n
Киев	k i e f
Лондон	ɫ o n d o n
Десните	d e s n i t e
ценят	t s e ɲ ɐ t
свободата	s v o b o d a t ɐ
дума	d u m ɐ
настояват	n ɐ s t o j a v ɐ t
придържане	p r i d ə r ʒ a n e
официални	o f i t s i a ɫ n i
стандарти	s t a n d a r t i
личния	l i t ʃ n i j ɐ
живот	ʒ i v o t
надмогна	n a d m o ɡ n ɐ
кризата	k r i z a t ɐ
жертви	ʒ e r t v i
Социалното	s o t s i a ɫ n o t o
напрежение	n ɐ p r e ʒ e n i e
военноремонтите	v o e n n o r e m o n t i t e
заводи	z a v o d i
достигна	d o s t i ɡ n ɐ
критични	k r i t i t ʃ n i
стойности	s t o j n o s t i
пише	p i ʃ e
писмото	p i s m o t o
главни	ɡ ɫ a v n i
партньори	p a r t ɲ o r i
фирмата	f i r m a t ɐ
Англия	a n ɡ l i j ɐ
Швеция	ʃ v e t s i j ɐ
Финландия	f i n ɫ a n d i j ɐ
полша	p o ɫ ʃ ɐ
огромен	o ɡ r o m e n
проблем	p r o b l e m
пиратските	p i r a t s k i t e
дискове	d i s k o v e
Мамун	m a m u n
Абдул	a b d u ɫ
Гайом	ɡ a j o m
бедствена	b e t s t v e n ɐ
ситуация	s i t u a t s i ɐ
архипелага	ɐ r ʃ i p e ɫ a ɡ ɐ
любима	l u b i m ɐ
туристи	t u r i s t i
цял	tsʲ a ɫ
свят	s vʲ a t
пазарът	p a z a r ə t
полуфабрикатни	p o ɫ u f ɐ b r i k a t n i
храни	x r a n i
у	u
нас	n a s
секторите	s e k t o r i t e
най-напред	n a j n a p r e t
привлякоха	p r i v l a k o x ɐ
погледите	p o ɡ l e d i t e
чуждестранните	t ʃ u ʒ d e s t r a n n i t e
инвеститори	i n v e s t i t o r i
спази	s p a z i
правилото	p r ɐ v i ɫ o t o
роми	r o m i
успя	u s pʲ ɐ
сключи	s k l u t ʃ i
предизборно	p r e d i z b o r n o
споразумение	s p o r ɐ z u m e n i e
ромски	r o m s k i
организации	o r ɡ ɐ n i z a t s i i
обеща	o b e ʃ t ɐ
минимална	m i n i m a ɫ n ɐ
пенсия	p e n s i j ɐ
ръст	r ə s t
заплатите	z ɐ p ɫ a t i t e
девет	d e v e t
Брутния	b r u t n i j ɐ
продукт	p r o d u k t
образование	o b r ɐ z o v a n i e
самата	s a m a t ɐ
нормализация	n o r m ɐ l i z a t s i ɐ
означава	o z n a t ʃ a v ɐ
главно	ɡ ɫ a v n o
мнозинството	m n o z i n s t v o t o
смятат	s mʲ a t ɐ t
нормална	n o r m a ɫ n ɐ
тоест	t o e s t
съзнателно	s ə z n a t e ɫ n o
желаят	ʒ e ɫ a j ɐ t
поддържат	p o d d ə r ʒ ɐ t
социалното	s o t s i a ɫ n o t o
статукво	s t a t u k v o
обмисляме	o b m i s l a m e
телефонен	t e l e f o n e n
секретар	s e k r e t a r
приемаме	p r i e m a m e
обаждания	o b ɐ ʒ d a n i j ɐ
заинтересованите	z ɐ i n t e r e s o v a n i t e
допълни	d o p ə ɫ n i
Райчева	r a j t ʃ e v ɐ
изпитва	i s p i t v ɐ
никакви	n i k a k v i
угризения	u ɡ r i z e n i j ɐ
съвестта	s ə v e s t̪ ɐ
наред	n a r e t
печелил	p e t ʃ e l i ɫ
отлично	o t l i t ʃ n o
сделките	z d e ɫ k i t e
Универсал	u n i v e r s ɐ ɫ
именно	i m e n n o
Пшивечерски	p ʃ i v e t ʃ e r s k i
подпомогнал	p o t p o m o ɡ n ɐ ɫ
създаването	s ə z d ɐ v a n e t o
плащал	p ɫ a ʃ t ɐ ɫ
наемите	n ɐ e m i t e
й	i
офиси	o f i s i
изготви	i z ɡ o t v i
стратегия	s t r ɐ t e ɡ i j ɐ
комуникационната	k o m u n i k ɐ t s i o n n a t ɐ
политика	p o l i t i k ɐ
върху	v ə r x u
институционалното	i n s t i t u t s i o n a ɫ n o t o
укрепване	u k r e p v a n e
регулаторния	r e ɡ u ɫ ɐ t o r n i j ɐ
орган	o r ɡ ɐ n
списъка	s p i s ə k ɐ
задачи	z a d a t ʃ i
днес	d n e s
дават	d a v ɐ t
достатъчно	d o s t a t ə t ʃ n o
имоти	i m o t i
искат	i s k ɐ t
съответното	s ə o t v e t n o t o
качество	k a t ʃ e s t v o
строителния	s t r o i t e ɫ n i j ɐ
получават	p o ɫ u t ʃ a v ɐ t
очевидно	o t ʃ e v i d n o
медийната	m e d i j n a t ɐ
най-силната	n a j s i ɫ n a t ɐ
страна	s t r a n ɐ
генерал	ɡ e n e r a ɫ
Колев	k o l e f
имаме	i m a m e
модерен	m o d e r e n
подготвен	p o d ɡ o t v e n
началник	n a t ʃ a ɫ n i k
Генералния	ɡ e n e r a ɫ n i j ɐ
щаб	ʃ t a p
силен	s i l e n
професионалист	p r o f e s i o n a l i s t
авторитет	ɐ f t o r i t e t
бойците	b o j t s i t e
нашите	n a ʃ i t e
международни	m e ʒ d u n a r o d n i
Таралежите	t ɐ r ɐ l e ʒ i t e
предлагат	p r e d ɫ a ɡ ɐ t
сливане	s l i v a n e
здравното	z d r a v n o t o
министерство	m i n i s t e r s t v o
партийна	p a r t i j n ɐ
третият	t r e t i j ɐ t
стълб	s t ə ɫ p
градят	ɡ r a dʲ ɐ t
допуснахме	d o p u s n a x m e
криза	k r i z ɐ
снабдяването	s n ɐ b dʲ ɐ v a n e t o
търговската	t ə r ɡ o f s k a t ɐ
мрежа	m r e ʒ ɐ
хранителни	x r ɐ n i t e ɫ n i
продукти	p r o d u k t i
останалите	o s t ɐ n a l i t e
четвърти	t ʃ e t v ə r t i
вероятният	v e r o j a t n i j ɐ t
стреми	s t r e m i
останалата	o s t ɐ n a ɫ a t ɐ
десницата	d e s n i t s a t ɐ
продуктите	p r o d u k t i t e
подравка	p o d r a f k ɐ
разгърна	r a z ɡ ə r n ɐ
деветдесетте	d e v e d d e s e t̪ e
невиждана	n e v i ʒ d a n ɐ
маркетингова	m ɐ r k e t i n ɡ o v ɐ
атака	a t a k ɐ
народният	n ɐ r o d n i j ɐ t
разцепи	r a s t s e p i
госпожа	ɡ o s p o ʒ ɐ
Мозер	m o z e r
петима	p e t i m ɐ
присъедини	p r i s ə e d i n i
Парламентарната	p ɐ r ɫ ɐ m e n t a r n a t ɐ
Мартина	m a r t i n ɐ
Вачкова	v a t ʃ k o v ɐ
казва	k a z v ɐ
Марта	m a r t ɐ
макар	m a k a r
кабинетът	k ɐ b i n e t ə t
предприе	p r e t p r i e
мерки	m e r k i
Европейският	e v r o p e j s k i j ɐ t
необходими	n e o p x o d i m i
усилия	u s i l i j ɐ
включително	f k l u t ʃ i t e ɫ n o
подкупността	p o t k u p n o s t̪ ɐ
високите	v i s o k i t e
нива	n i v ɐ
изтъква	i s t ə k v ɐ
доклада	d o k ɫ a d ɐ
случи	s ɫ u t ʃ i
царя	t s a rʲ ɐ
НДСВ	n ə d ə s ə v ə
загуби	z a ɡ u b i
пети	p e t i
юни	j u n i
Ник	n i k
отчитал	o t t ʃ i t ɐ ɫ
дейността	d e j n o s t̪ ɐ
пряко	p rʲ a k o
централния	t s e n t r a ɫ n i j ɐ
офис	o f i s
банката	b a n k a t ɐ
оттам	o t̪ ɐ m
получавал	p o ɫ u t ʃ a v ɐ ɫ
указания	u k ɐ z a n i j ɐ
курсове	k u r s o v e
обучението	o b u t ʃ e n i e t o
шестдесет	ʃ e z d d e s e t
учебни	u t ʃ e b n i
часа	t ʃ a s ɐ
минути	m i n u t i
разпределени	r ɐ s p r e d e l e n i
схеми	s x e m i
седмично	s e d m i t ʃ n o
желанието	ʒ e ɫ ɐ n i e t o
немския	n e m s k i j ɐ
бюргер	bʲ u r ɡ e r
смяна	s mʲ a n ɐ
правопропорционален	p r ɐ v o p r o p o r t s i o n a l e n
страховете	s t r ɐ x o v e t e
промяната	p r o mʲ a n a t ɐ
обобщени	o b o p ʃ t e n i
данни	d a n n i
загубите	z ɐ ɡ u b i t e
бизнеса	b i z n e s ɐ
засегнатите	z ɐ s e ɡ n a t i t e
области	o b ɫ a s t i
снежната	s n e ʒ n a t ɐ
десет-дневка	d e s e d d n e f k ɐ
ураганните	u r ɐ ɡ a n n i t e
вихри	v i x r i
снеготопежа	s n e ɡ o t o p e ʒ ɐ
известни	i z v e s t n i
коментатори	k o m e n t a t o r i
отслабените	o t s ɫ ɐ b e n i t e
Блеър	b l e ə r
кратко	k r a t k o
опишат	o p i ʃ ɐ t
пост	p o s t
власт	v ɫ a s t
валидни	v a l i d n i
сертификати	s e r t i f i k a t i
издават	i z d a v ɐ t
Британският	b r i t a n s k i j ɐ t
съвет	s ə v e t
английски	a n ɡ l i j s k i
език	e z i k
немски	n e m s k i
Гьоте	ɡʲ o t e
институт	i n s t i t u t
Алиансът	ɐ l i a n s ə t
оторизирани	o t o r i z i r a n i
университети	u n i v e r s i t e t i
следващата	s l e d v a ʃ t a t ɐ
реакция	r e a k t s i j ɐ
въпрос-въздишка	v ə p r o s v ə z d i ʃ k ɐ
ама	a m ɐ
назначен	n a z n a t ʃ e n
обикновен	o b i k n o v e n
борсов	b o r s o f
посредник	p o s r e d n i k
можело	m o ʒ e ɫ o
повишение	p o v i ʃ e n i e
мълчаливо	m ə ɫ t ʃ a l i v o
разпределят	r ɐ s p r e d e l ɐ t
пропорция	p r o p o r t s i j ɐ
транспортната	t r ɐ n s p o r t n a t ɐ
инфраструктура	i n f r ɐ s t r u k t u r ɐ
опазването	o p ɐ z v a n e t o
околната	o k o ɫ n a t ɐ
среда	s r e d ɐ
естествено	e s t e s t v e n o
отговорът	o d ɡ o v o r ə t
съвсем	s ə f s e m
другаде	d r u ɡ a d e
освен	o s v e n
отказва	o t k a z v ɐ
сътрудничи	s ə t r u d n i t ʃ i
наблюдатели	n ɐ b l u d a t e l i
съдебна	s ə d e b n ɐ
реформа	r e f o r m ɐ
изказват	i s k a z v ɐ t
съдебната	s ə d e b n a t ɐ
клиповете	k l i p o v e t e
БСП	b ə s ə p ə
традиционните	t r ɐ d i t s i o n n i t e
миньорски	m i ɲ o r s k i
каски	k a s k i
намеци	n a m e t s i
работническата	r ɐ b o t n i t ʃ e s k a t ɐ
появяват	p o j a vʲ a v ɐ t
юпита	j u p i t ɐ
бизнесмени	b i z n e s m e n i
четността	t ʃ e t n o s t̪ ɐ
